trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.47093950920983757, 'e': 0.29804821805862064}",20,9,-1.5786143648317887,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.47042176056366847, 'e': 0.2964134525853191}",20,12,1.2300874584680717,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.4700455736500463, 'e': 0.2952301669240142}",20,16,6.783375129682228,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.4698575930192188, 'e': 0.29464029665705654}",20,0,-101.95435240883201,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",1
142,False,"{'a': 0.4689188169222028, 'e': 0.2917085767211244}",30,14,26.304991406688046,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.46816914671122567, 'e': 0.2893842179390506}",20,7,2.659767667301389,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.46756092225205775, 'e': 0.28750932054018974}",30,9,-35.76345904033005,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.4665800745658605, 'e': 0.2845062662997899}",20,6,26.941170078745042,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.4659273194966334, 'e': 0.2825216766033636}",20,8,9.341874384220912,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.4653685420467607, 'e': 0.2808316217783798}",20,8,25.513299805960386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.46481043472766886, 'e': 0.27915167692210985}",25,12,-19.728339169282386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.4642065737571975, 'e': 0.2773430753450219}",20,8,-9.029992592603879,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
150,False,"{'a': 0.4636498599637705, 'e': 0.27568399909891583}",20,16,6.713988682208392,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.4634644371068287, 'e': 0.27513318210132126}",30,14,16.2837357551517,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
